Author,Title
Evelyn Stiller,Project Based Software Engineering An Object Oriented Approach 
"LANDER, JARED P",R FOR EVERYONE  ADVANCED ANALYTICS AND GRAPHICS 
Bill Mc Curty,RHCE Red Hat Certified Engineer 
Richard E.Fairley,Software Engineering Concepts 
"SUBRAMANIAN, CHANDRAMOULI",SOFTWARE PROJECT MANAGEMENT 
Kieron Conway,Software Project Management  From Concept to Deployment 
Soren Lausen,Software requirments to styles and techniques 
Ron Patton,Software Testing 
Shashi Shekhar,Spatial Data bases A Tour 
Kate Gregory,Special Edition Using C 6 
Erik Pace Birkhelz,Special OPS  Desktop And Network Security for Microsoft Unix and Oracle  The Ultimate Reference 
Laura Lemay,TY Pearl in 21 days 
Clinton Pierce,TY Perl in 24 hours CD 
Rick Leinecker,TY Visual J in 21 days 
Ganssle,The Firmware HandBook The Definitive guide to Embedded firmware design and applications 
Micro House,The Hard disk Technical guide CD 
BPB Publishing,The Hard Disk Technical guide 
Alan Clements,The Principles of Computer Hardware 
Ladoll,The Security Risk Assessment Hand BookA Complete Guide for performing security risk Assessment 
Oppenheimer,Top down network design 
Rick Leinecker,TY Visual J 6 in 21 days 
Kuo,TY Windos networking in 24 hours 
Clinton Pierce,TY Perl in24 hours 
ANITA GOEL,Computer Fundamentals 
ARCHANA KUMAR,COMPUTER BASICS WITH OFIICE AUTOMATION 
"Azam,Mohammed",Computer Literacy Kit  A Dialogue Oriented Approach 
"DRISCOLL, TERENCE",Computer Studies and Information Technology 
ELAKUMAR,MILTIPLE CHOICE QUESTIONS 
"HROMKOVIC, JURAJ",THEORETICAL COMPUTER SCIENCE 
ITL EDUCATION SOLUTIONS,INTRODUCTION TO INFORMATION TECHNOLOGY 
Jerome Kanter,Managing with Information 
"ANOOP, MATHEW",FUNDAMENTALS OF INFORMATION TECHNOLOGY 
Michael Meyers,All in one A Certification Exam Guid 
"MISHRA, KLP",THEORY OF COMPUTER SCIENCE  AUTOMATA LANGUAGES AND COMPUTATION 
"RAJARAMAN, V",FUNDAMENTALS OF COMPUTERS 
RAJENDRAPRASAD,Introduction to operation research  A ComputerOriented Algorithmic Approach 
"Schumacher, Markus",Security Engineering with Patterns 
Timothy J.,Multiple Choice Questions in Computer Science 
Yale N. Patt,Introduction to Computing systems   
"ALI MAZIDI, MUHAMMAD",THE X86 PC ASSEMBLY LANGUAGE DESIGN AND INTERFACING 
Greg Perry,Teach Yourself PCS in 24 Hours 
Mathew Strebe,MCSE Internet information server 3 study guide 
Leon Alexis,Fundamentals of Information Technology 
GANES M,BASICS OF COMPUTER AIDED GEOMETRIC DESIGN AN ALGORITHMIC APPROACH 
"Gersting, Judith L",Mathematical Structures for computer science 
"HOODA, D S",COMPUTATIONAL MATHEMATICS AND INFORMATION TECHNOLOGY 
SHANKER RAO,MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE 
Ameen,Computational Elasticity Theory of elasticity and Boundary Elements methods 
Kay M. Staney,Handbook of Virtual environment 
"Holtsnider ,Bill",IT MANAGERS HANDBOOK 
S.Jaiswal,Information Technology Today 
Alan Freedman,The Computer Desktop Eneyelepedia 
COURTER GINI,Mastering project 2002 
"O'Brien,James A.",Introduction to Informating Systems 
Nancy L. Flynn,The EPolicy Handbook Designing and Implementing Effective EMail Internet And Software Policies 
G.K. PUBLISHERS PVT. LTD,GATE IN INFORAMATION TECHNOLOGY 
"PAUN,GHEORGHE",MEMBRANE COMPUTING  AN INTRODUCTION 
Rebeccawirfs-Brock,Object Design  Roles Responsibilities and Collaborations 
RAY AK,ADVANCED MICROPROCESSORS AND PERIPHERALS 
"SHIBU, K.V",INTRODUCTION TO EMBEDED SYSTEMS 
RAJARAMAN V,AN INTODUCTION TO DIGITAL COMPUTER DESIGN 
Leon,IBM mainframe Handbook 
"David Herst, etc",Learning Java Programming 
LYLA B DAS,EMBEDDED SYSTEMS AN INTEGRATED APPROACH
Arnold Berger,Embedded Systems Design  An Introduction to Processes Tools and Techniques 
Bernard Grob,Basic Electronics 
Chettananda swami,SwamiVivekanandaMeditation and its Methods 
Daniel W. Lewis,Fundamentals of Embedded Software Where C and Assembly Meet 
David E.Simon,An Embedded Software Primer 
DREAMTECH SOFTWARE TEAM,PROGRAMMING FOR EMBEDDED SYSTEMS 
"GANSSLE, JACK",EMBEDDED SYSTEMS  WORLD CLASS DESIGNS 
Jack G. Ganssle,Art of Designing Embedded Systems 
Jean J. Labrosse,Embedded Systems Building Blocks  Complete and ReadytoUse Modules in C 
Jonathan W. Valvano,Introduction to Embedded Micro computer Systems  Motorolo 6811 and 6812 Simulation 
"KANTA RAO, B",Embedded System 
Lewin A.R.W. Edwards,Embedded System Design on a shoestring  Achieving High Performance With a limited Budget 
"LEWIS, HARRY R",ELEMENTS OF THE THEORY OF COMPUTATION 
LYALA B DAS,EMBEDDED SYSTEMS 
"PECKOL, JAMES K",EMBEDED SYSTEMS A CONTEMPORARY DESIGN TOOLS 
"MARWEDEL, PETER",EMBEDDED SYSTEM DESIGN 
Michael Barr,Programming Embedded Systems in C and C 
"Noergaard,Tammy",Embedded Systems Architecture 
"QIAN, KAI",EMBEDDED SOFTWARE DEVELOPMENT WITH C 
Raj Kamal,Embedded System  Architecture Programming and Design 
"RAJESH SINGH, ANITA GEHLOT",EMBEDDED SYSTEM BASED ON ATMEGA MICROCONTROLLER 
Sriram V. Iyer,Embedded Realtime Systems Programming 
"SRIRAM, SUNDARARAJAN, BHATTACHARYYA, SHRUVA S",EMBEDED MULTIPROCESSORS SCHEDULING AND SYNCHRONIZATION 
Tammy Noergaard,Embedded ystems Architecture 
"Valvano,jonathan",Embedded Microcomputer systems 
"WHITE, ELICIA",MAKING EMBEDDED SYSTEMS 
Byron S. Gottfried,Theory and Problems wih C Schaums Outline of 
Wayne Wolf,Computers as Components  Principles of Embedded Computing System Design 
"Ghoshal, Subrata",8051 microcontroller 
"RAM, B",FUNDAMENTALS OF MICROPROCESSORS And MICROCONTROLLERS 
Adity P. Mathur,Introductiion to Microprossors 
"CRISP, JOHN",INTRODUCTION TO MICROPROCESSORS And MICROCONTROLLERS 
Hall douglas V,Micro Processors and Interfacing  Programming and Hardware 
"GAONKAR, RAMESH",MICROPROCESSOR ARCHITECTURE  PROGRAMMING And APPLICATIONS WITH 8085 
"Antonakes,James L",An Introduction to the Intel Family of Microprocessors  A handson Approach Utilizing the 80x86 Microprocessor Family 
"Ayala ,Kannath J",The 8051 Microcontroller  Architecture Programming and Applications 
Badri Ram,Advanced Microprocessors and Interfacing 
Brey Barry B.,The Intel Microprocessors  80868088 8018680188 80286 80386 80486 Pentium Pentium Pro Processor Pentium II Pentium III and Pentium IV 
"Cady,Fredrick M",Micro controllers And Micro Computers  Principles of Software and Hardware Engineering 
"CHENG LIU, YU, GIBSON, GLENN A",MICROCOMPUTER SYSTEMS  THE 80868088 FAMILY ARCHITECTRE PROGRAMMING AND DESIGN 
"CLEMENTS , ALAN",Microprocessor System Design 68060 Hardware software Interfacing 
Edwards,Embedded system design on a shoestringachiving high performance with a limited budjet 
"Gilmore,Charles M",Microporcessors  Principles and applications 
Hall douglas V,Microprocessors and Interfacing Programming and Hardware 
Jain R P,Digital Electronics and Microprocessors  Problems and Solutions 
John Uffenbeck,The 80868088 Family  Design Programming and Interfacing 
"KALER, R S",TEXT BOOK OF MICROPROCESSORS AND MICROCONTROLLERS 
"Liu,Yu-Cheng",Micro Computer Systems The 80868088 Family Architecture Programming and Design 
MACKENZIE SCOTT,8051 MICROCONTROLLERS 
"Mathur, Sunil",MIcroprocessor 8085 and its interfacing 
"MAZIDI, MUHAMMAD ALI",8051 MICROCONTROLLER And EMBEDDED SYSTEM 
MUKHOPADHYAY,TEXT BOOK ON MICROPROCESSOR  BASED LABORATORY EXPERIMENTS AND PROJECTS 
Nagoorkani A,Microprocessor 8086 Programming And Interfacing 
RAFIQUZZAMAN MOHAMED,MICROCOMPUTER BASED SYSTEM DESIGN 
"SLATER,MICHAEL",Microprocessors   
"Rafiquzzaman,M.",Microprocessors  Theory and Applications Intel and Motorola 
RAM,FUNDAMENTALS OF MICROPROCESSORS AND MICROCONTROLLERS 
Renu Singh,Microprocessors Interfacing and Applications 
SUMATHI S,PRINCIPLES OF VLSI DESIGN 
"Tabak,Daniel",Advanced Micrroprocessors 
Theagarajan,Microprocessor And its Applications 
Theagarajan,TEXTBOOK OF MICROPROCESSORS AND MICROCONTROLLERS 
UDAYAKUMAR K,Advanced Microprocessors and IBMPC Assembly Lauguage Programming 
"UFFENBECK, JOHN",MICROCOMPUTERS AND MICRO PROCESSORS 
Vijayendran V,Fundamentals of Microprocessor 8085 Architecture Programming And intrerfacing 
"MATHUR,ADITYA P",INTRODUCTION TO MICROPROCESSORS 
"RAM,B",Fundamentals of Microprocessor and Microcomputer
MAZIDI MUHAMMED ALI,THE AVR MICROCONTROLLER AND EMBEDDED SYSTEMS USING ASSEMBLY AND C 
